,batch_losses
318,0.5488475561141968
319,0.5810397863388062
320,0.5650428533554077
321,0.5710057020187378
322,0.5522802472114563
323,0.5282322764396667
324,0.526148796081543
325,0.47725796699523926
326,0.6000152826309204
327,0.5320902466773987
328,0.5046672224998474
329,0.597750186920166
330,0.5064597129821777
331,0.574394166469574
332,0.5813478231430054
333,0.5886329412460327
334,0.5485000610351562
335,0.5479007959365845
336,0.5623120665550232
337,0.5362123250961304
338,0.5033962726593018
339,0.5415873527526855
340,0.5410628318786621
341,0.5447980165481567
342,0.580125093460083
343,0.5347375273704529
344,0.5505167841911316
345,0.5556467175483704
346,0.5309603810310364
347,0.5423077344894409
348,0.49873924255371094
349,0.580051064491272
350,0.5113402009010315
351,0.607142984867096
352,0.5921890735626221
353,0.5527980923652649
354,0.5328097939491272
355,0.5758863687515259
356,0.5632055997848511
357,0.5842580795288086
358,0.5569974184036255
359,0.5347030162811279
360,0.5162619352340698
361,0.5598724484443665
362,0.5456013679504395
363,0.5496429204940796
364,0.528517484664917
365,0.4794793128967285
366,0.5181682705879211
367,0.5206307172775269
368,0.5768530368804932
369,0.5835665464401245
370,0.5653934478759766
371,0.4882512092590332
372,0.5344808101654053
373,0.5004925727844238
374,0.5322508811950684
375,0.5249203443527222
376,0.5694229602813721
377,0.5736297369003296
378,0.558488130569458
379,0.5577303171157837
380,0.5428356528282166
381,0.5050582885742188
382,0.5649935007095337
383,0.5377631783485413
384,0.568384051322937
385,0.515479326248169
386,0.4788438379764557
387,0.5282356142997742
388,0.5419661998748779
389,0.506247878074646
390,0.4997119903564453
391,0.5974310636520386
392,0.535345196723938
393,0.5702944993972778
394,0.5022832155227661
395,0.5202013254165649
396,0.6223951578140259
397,0.5763068199157715
398,0.5342549085617065
399,0.5454515218734741
400,0.5581583976745605
401,0.5106759071350098
402,0.5926336646080017
403,0.5507548451423645
404,0.5543615221977234
405,0.5731289386749268
406,0.5264624357223511
407,0.578789234161377
408,0.5214757323265076
409,0.5374225378036499
410,0.5327305197715759
411,0.5773172378540039
412,0.5289877653121948
413,0.5169195532798767
414,0.5711897611618042
