,batch_losses
127,0.5767546892166138
128,0.5483170747756958
129,0.5184563398361206
130,0.5402165651321411
131,0.5361373424530029
132,0.53474360704422
133,0.49974295496940613
134,0.5675104856491089
135,0.5380748510360718
136,0.4913857579231262
137,0.5441387295722961
138,0.4663652181625366
139,0.559124767780304
140,0.5217993855476379
141,0.5667908191680908
142,0.5402333736419678
143,0.5727944374084473
144,0.5387945175170898
145,0.48084700107574463
146,0.5102461576461792
147,0.5652142763137817
148,0.5056852102279663
149,0.48948314785957336
150,0.5185928344726562
151,0.5475331544876099
152,0.5390575528144836
153,0.553737461566925
154,0.4981064796447754
155,0.52680903673172
156,0.5114721059799194
157,0.5377390384674072
158,0.5348584651947021
159,0.538363516330719
160,0.549795389175415
161,0.5521030426025391
162,0.4977312684059143
163,0.5127230286598206
164,0.5365241169929504
165,0.5429778099060059
166,0.524835467338562
167,0.5120806694030762
168,0.5421230792999268
169,0.5259851217269897
170,0.540444016456604
171,0.5036247968673706
172,0.5188736915588379
173,0.533250093460083
174,0.5195834040641785
175,0.5468477606773376
176,0.5045946836471558
177,0.5616034865379333
178,0.5662980079650879
179,0.5012653470039368
180,0.4762857258319855
181,0.46433618664741516
182,0.5499220490455627
183,0.5387075543403625
184,0.5469045639038086
185,0.5274970531463623
186,0.49369192123413086
187,0.5330355167388916
188,0.5598707795143127
189,0.49986472725868225
190,0.572143018245697
191,0.5236032009124756
192,0.5206219553947449
193,0.5158332586288452
194,0.5525846481323242
195,0.4970407783985138
196,0.5677717924118042
197,0.5450084805488586
198,0.5442742109298706
199,0.521733283996582
200,0.554706335067749
201,0.5312357544898987
202,0.5326762795448303
203,0.5074658393859863
204,0.5382753610610962
205,0.4964691698551178
206,0.530479907989502
207,0.5085884928703308
208,0.5324695110321045
209,0.5619534254074097
210,0.5015832781791687
211,0.5017157793045044
212,0.506644606590271
213,0.5567688941955566
214,0.5454390048980713
215,0.5400728583335876
216,0.5095398426055908
217,0.5652310848236084
218,0.5137149691581726
219,0.49582821130752563
220,0.5407717227935791
221,0.5014890432357788
222,0.5248205661773682
223,0.53263258934021
224,0.5181583762168884
225,0.521957516670227
226,0.510887861251831
227,0.5412452220916748
228,0.5273082256317139
229,0.5781242847442627
230,0.5142085552215576
231,0.5181642174720764
232,0.530957818031311
233,0.5226590633392334
234,0.5454490184783936
235,0.5276860594749451
236,0.5162726044654846
237,0.5276716947555542
238,0.4912494719028473
